Model,Thr,Precision,Recall,F1,FPR,FNR
RandomForest-XSS,0.39,0.9952445652173914,1.0,0.9976166155941437,0.009735744089012517,0.0
MLP-XSS,0.49,0.9979550102249489,0.9993174061433447,0.9986357435197817,0.004172461752433936,0.0006825938566552901
XGBoost-XSS,0.1,0.6707875457875457,1.0,0.8029597149904083,1.0,0.0
CatBoost-XSS,0.38,0.998631074606434,0.9959044368600682,0.9972658920027341,0.0027816411682892906,0.004095563139931741
