Model,Thr,Precision,Recall,F1,FPR,FNR
RandomForest-SQL,0.26,0.9968888888888889,0.9894133215703573,0.9931370378569847,0.0017939518195797027,0.0105866784296427
MLP-SQL,0.14,0.9991079393398751,0.9880899867666519,0.9935684187181193,0.0005125576627370579,0.011910013233348038
XGBoost-SQL,0.31,0.6269610691458455,0.9519188354653727,0.7559992993519005,0.32906201947719116,0.04808116453462726
CatBoost-SQL,0.25,0.99644128113879,0.9880899867666519,0.9922480620155039,0.0020502306509482316,0.011910013233348038
